  EEP                isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  185         3.1600000000000244E+008         2.0966514754493296E-001         2.0966475683371405E-001         3.4868538750360965E+000         5.0153838688274890E+000        -2.3578944533848021E+000         1.7000000000000001E-001            0.237475           17.702217           16.467506           14.695224           13.038157           11.127030            9.040854            8.283479            7.977966           12.817797           15.458437           14.373403           16.736027           14.977758           12.674951           14.949163           11.388899           12.700397           14.901388           14.945195           11.362022           11.213728           12.718555           14.924644           11.361971           -1.000000
  186         3.1600000000000244E+008         2.2047855604789965E-001         2.2047814252263612E-001         3.4892635988019789E+000         5.0058506199851980E+000        -2.3152835895232919E+000         1.7000000000000001E-001            0.237480           17.523567           16.293308           14.527166           12.892953           11.002773            8.941313            8.184101            7.879949           12.684289           15.284817           14.220298           16.562868           14.808239           12.547234           14.782032           11.266449           12.571007           14.734329           14.778208           11.239747           11.094859           12.589226           14.757362           11.239546           -1.000000
  187         3.1600000000000244E+008         2.2880648493829164E-001         2.2880605376775906E-001         3.4909416521526366E+000         4.9998536784535910E+000        -2.2864363938963352E+000         1.7000000000000001E-001            0.237482           17.402996           16.175301           14.413152           12.794357           10.918697            8.874017            8.117109            7.813299           12.593739           15.167259           14.116292           16.445700           14.693226           12.460626           14.668630           11.183517           12.483265           14.620974           14.664906           11.156934           11.014378           12.501525           14.643855           11.156637           -1.000000
  188         3.1600000000000244E+008         2.3719939618196581E-001         2.3719894698233182E-001         3.4926336717534299E+000         4.9938219337789658E+000        -2.2573740227308288E+000         1.7000000000000001E-001            0.237487           17.284037           16.058357           14.300392           12.696133           10.834309            8.805799            8.048716            7.745579           12.503133           15.051521           14.012865           16.329544           14.579485           12.373775           14.556382           11.100217           12.395331           14.508766           14.552739           11.073749           10.933434           12.413630           14.531513           11.073360           -1.000000
  189         3.1600000000000244E+008         2.4300669944149964E-001         2.4300623739635660E-001         3.4938517966975784E+000         4.9880596438673175E+000        -2.2359674734515020E+000         1.7000000000000001E-001            0.237488           17.197102           15.973356           14.218712           12.624662           10.772634            8.755427            7.997986            7.695554           12.437023           14.967464           13.937687           16.244953           14.497087           12.310287           14.475066           11.039257           12.331091           14.427483           14.471479           11.012870           10.874121           12.349417           14.450131           11.012423           -1.000000
  190         3.1600000000000244E+008         2.4742932714282612E-001         2.4742885501804560E-001         3.4948103662690406E+000         4.9828964241527505E+000        -2.2191213812638662E+000         1.7000000000000001E-001            0.237490           17.128798           15.906761           14.154860           12.568693           10.724263            8.715793            7.958010            7.656144           12.385193           14.901657           13.878828           16.178610           14.432667           12.260473           14.411501           10.991415           12.280701           14.363944           14.407957           10.965089           10.827545           12.299046           14.386517           10.964598           -1.000000
  191         3.1600000000000244E+008         2.5187026589472072E-001         2.5186978352574768E-001         3.4957686289923360E+000         4.9782132847202911E+000        -2.2027161145952916E+000         1.7000000000000001E-001            0.237491           17.062199           15.841600           14.092316           12.513928           10.677059            8.677286            7.919086            7.617806           12.334535           14.837296           13.821204           16.113733           14.369562           12.211816           14.349237           10.944726           12.231471           14.301706           14.345737           10.918462           10.782116           12.249836           14.324203           10.917928           -1.000000
  192         3.1600000000000244E+008         2.5632444682444988E-001         2.5632395406067887E-001         3.4967235617283388E+000         4.9739462347443073E+000        -2.1867225460068527E+000         1.7000000000000001E-001            0.237493           16.997257           15.777860           14.031074           12.460346           10.630972            8.639807            7.881210            7.580465           12.285010           14.774367           13.764799           16.049923           14.307768           12.164270           14.288272           10.899140           12.183361           14.240765           14.284816           10.872936           10.737779           12.201745           14.263188           10.872361           -1.000000
  193         3.1600000000000244E+008         2.6195091674250104E-001         2.6195041083302528E-001         3.4979484979523954E+000         4.9698365896672394E+000        -2.1683857479107629E+000         1.7000000000000001E-001            0.237491           16.920530           15.702017           13.958098           12.397088           10.577332            8.597210            7.838053            7.537990           12.226946           14.699563           13.697964           15.975050           14.234102           12.108745           14.215639           10.846137           12.127110           14.168161           14.212244           10.820011           10.686379           12.145519           14.190495           10.819382           -1.000000
  194         3.1600000000000244E+008         2.6881114934379852E-001         2.6881062729841920E-001         3.4994575128982874E+000         4.9657290739715130E+000        -2.1473786299209983E+000         1.7000000000000001E-001            0.237491           16.831100           15.613154           13.872524           12.323304           10.515333            8.548710            7.789048            7.489566           12.159498           14.612013           13.619834           15.887553           14.147694           12.044399           14.130480           10.784897           12.061880           14.083036           14.127160           10.758867           10.627105           12.080320           14.105261           10.758173           -1.000000
  195         3.1600000000000244E+008         2.7570492532714375E-001         2.7570438681185200E-001         3.5009674858157207E+000         4.9619314653573525E+000        -2.1266258733398415E+000         1.7000000000000001E-001            0.237490           16.743217           15.525557           13.788123           12.250478           10.454157            8.500850            7.740732            7.441952           12.092903           14.525791           13.542729           15.801342           14.062466           11.980861           14.046486           10.724449           11.997471           13.999079           14.043245           10.698515           10.568596           12.015944           14.021196           10.697758           -1.000000
  196         3.1600000000000244E+008         2.8175780849865756E-001         2.8175725533271023E-001         3.5022897184761335E+000         4.9590424945346312E+000        -2.1089405396496015E+000         1.7000000000000001E-001            0.237487           16.668295           15.450588           13.715839           12.188164           10.401939            8.460167            7.699567            7.401507           12.035962           14.452078           13.476727           15.727025           13.989466           11.926568           13.974552           10.672852           11.942426           13.927176           13.971380           10.646999           10.518678           11.960924           13.949203           10.646189           -1.000000
  197         3.1600000000000244E+008         2.8559943077616018E-001         2.8559886829916042E-001         3.5031236784366389E+000         4.9577666487426280E+000        -2.0985496335295077E+000         1.7000000000000001E-001            0.237482           16.623465           15.405457           13.672268           12.150822           10.370947            8.436433            7.675436            7.377878           12.001988           14.407751           13.437088           15.682340           13.945450           11.894261           13.931197           10.642246           11.909644           13.883839           13.928072           10.616446           10.489130           11.928162           13.905811           10.615602           -1.000000
  198         3.1600000000000244E+008         2.8845730766112027E-001         2.8845673814242023E-001         3.5036947975193611E+000         4.9568907338941726E+000        -2.0910256068453692E+000         1.7000000000000001E-001            0.237476           16.591877           15.373638           13.641516           12.124298           10.348738            8.419157            7.657882            7.360657           11.977748           14.376499           13.409004           15.650823           13.914394           11.871153           13.900594           10.620298           11.886214           13.853249           13.897499           10.594533           10.467900           11.904743           13.875183           10.593666           -1.000000
  199         3.1600000000000244E+008         2.9067274520722097E-001         2.9067217015647889E-001         3.5040857712793176E+000         4.9563187941591531E+000        -2.0854447878268196E+000         1.7000000000000001E-001            0.237466           16.569252           15.350824           13.619426           12.105089           10.332471            8.406256            7.644788            7.347794           11.960093           14.354082           13.388732           15.628218           13.892097           11.854270           13.878605           10.604209           11.869112           13.831268           13.875532           10.578468           10.452301           11.887650           13.853177           10.577585           -1.000000
  200         3.1600000000000244E+008         2.9283711201782492E-001         2.9283653174079061E-001         3.5044600635177821E+000         4.9560327509973003E+000        -2.0802946402815574E+000         1.7000000000000001E-001            0.237457           16.548216           15.329504           13.598736           12.087157           10.317369            8.394397            7.632741            7.335967           11.943654           14.333136           13.369786           15.607126           13.871212           11.838577           13.858009           10.589279           11.853207           13.810680           13.854958           10.563561           10.437843           11.871752           13.832566           10.562664           -1.000000
  201         3.1600000000000244E+008         2.9502344115648882E-001         2.9502285573578724E-001         3.5048349144099649E+000         4.9557923160483321E+000        -2.0751550275236492E+000         1.7000000000000001E-001            0.237448           16.527252           15.308229           13.578085           12.069258           10.302298            8.382565            7.620720            7.324163           11.927246           14.312241           13.350878           15.586086           13.850367           11.822912           13.837454           10.574378           11.837331           13.790133           13.834424           10.548684           10.423415           11.855885           13.811996           10.547771           -1.000000
  202         3.1600000000000244E+008         2.9715614212550656E-001         2.9715555195096510E-001         3.5051973871209046E+000         4.9555900530956567E+000        -2.0701850751389381E+000         1.7000000000000001E-001            0.237443           16.507036           15.287695           13.558146           12.051970           10.287734            8.371124            7.609095            7.312749           11.911392           14.292077           13.332617           15.565777           13.830241           11.807775           13.817607           10.559979           11.821991           13.770294           13.814598           10.534307           10.409472           11.840552           13.792133           10.533381            0.000000
  203         3.1600000000000244E+008         2.9911985408166286E-001         2.9911925979538190E-001         3.5055312220693469E+000         4.9552677561758811E+000        -2.0654682135342441E+000         1.7000000000000001E-001            0.237442           16.488052           15.268469           13.539504           12.035747           10.273996            8.360233            7.598032            7.301880           11.896475           14.273205           13.315503           15.546766           13.811424           11.793512           13.799048           10.546390           11.807542           13.751743           13.796059           10.520739           10.396297           11.826110           13.773561           10.519798            0.000000
  204         3.1600000000000244E+008         3.0119096023074221E-001         3.0119036180285225E-001         3.5059087127464053E+000         4.9550132515992047E+000        -2.0605007912987756E+000         1.7000000000000001E-001            0.237494           16.467585           15.247710           13.519391           12.018347           10.259396            8.348831            7.586437            7.290502           11.880544           14.252847           13.297102           15.526289           13.791116           11.778315           13.779030           10.531954           11.792137           13.731732           13.776061           10.506325           10.382326           11.810713           13.753529           10.505370            0.000000
  205         3.1600000000000244E+008         3.0324129387416959E-001         3.0324069156776245E-001         3.5062948851307563E+000         4.9546425890995325E+000        -2.0554230075641176E+000         1.7000000000000001E-001            0.237494           16.446690           15.226523           13.498880           12.000591           10.244488            8.337173            7.574576            7.278848           11.864281           14.232080           13.278326           15.505384           13.770406           11.762796           13.758615           10.517210           11.776407           13.711327           13.755669           10.491605           10.368055           11.794991           13.733098           10.490636            0.000000
  206         3.1600000000000244E+008         3.4389666970660487E-001         3.4389596177410076E-001         3.5215782039030783E+000         4.9354335998379302E+000        -1.9205677557116869E+000         1.7000000000000001E-001            0.237120           15.825756           14.590075           12.889786           11.485246            9.833655            8.040216            7.267437            6.978071           11.401844           13.616234           12.725963           14.879072           13.153684           11.326166           13.152742           10.110107           11.332646           13.105810           13.150639           10.085320            9.977549           11.351478           13.126768           10.084039            0.000000
  207         3.1600000000000244E+008         3.4497794114962338E-001         3.4497722840932471E-001         3.5220151839927341E+000         4.9351211293363679E+000        -1.9171458374614163E+000         1.7000000000000001E-001            0.237124           15.810169           14.573795           12.874191           11.471996            9.823296            8.032818            7.259709            6.970496           11.390005           13.600597           12.711735           14.863123           13.137880           11.314996           13.137224           10.099777           11.321297           13.090302           13.135145           10.075012            9.967653           11.340134           13.111239           10.073728            0.000000
  208         3.1600000000000244E+008         3.4578817561096986E-001         3.4578745944300576E-001         3.5223032795205151E+000         4.9352379404164726E+000        -1.9150796602781999E+000         1.7000000000000001E-001            0.237138           15.800442           14.563519           12.864306           11.463671            9.816915            8.028423            7.255111            6.965993           11.382628           13.590739           12.702761           14.853094           13.127860           11.308068           13.127388           10.093415           11.314248           13.080471           13.125326           10.068665            9.961583           11.333090           13.101395           10.067378            0.000000
  209         3.1600000000000244E+008         3.4645199525751630E-001         3.4645127715497293E-001         3.5225138289859128E+000         4.9354196467860811E+000        -1.9135664444624028E+000         1.7000000000000001E-001            0.237142           15.793356           14.556002           12.857056           11.457561            9.812239            8.025208            7.251751            6.962701           11.377218           13.583526           12.696178           14.845769           13.120512           11.302989           13.120172           10.088752           11.309081           13.073259           13.118122           10.064012            9.957135           11.327925           13.094172           10.062724            0.000000
  210         3.1600000000000244E+008         3.4769399302169113E-001         3.4769327258542659E-001         3.5228328481640054E+000         4.9351880878900802E+000        -1.9104335807225306E+000         1.7000000000000001E-001            0.237127           15.780455           14.542575           12.844122           11.446320            9.803107            8.018222            7.244522            6.955583           11.367002           13.570570           12.684227           14.832590           13.107425           11.293258           13.107292           10.079636           11.299220           13.060387           13.105261           10.054912            9.948335           11.318068           13.081285           10.053622            0.000000
  211         3.1600000000000244E+008         3.4927367124484288E-001         3.4927294937707087E-001         3.5232246539776115E+000         4.9344504872499497E+000        -1.9060566671612531E+000         1.7000000000000001E-001            0.237109           15.763247           14.524837           12.827069           11.431309            9.790627            8.008307            7.234289            6.945490           11.353215           13.553422           12.668350           14.815111           13.090181           11.280050           13.090308           10.067170           11.285858           13.043412           13.088299           10.042464            9.936245           11.304710           13.064293           10.041174            0.000000
  212         3.1600000000000244E+008         3.5207222228429147E-001         3.5207149717881392E-001         3.5240435134413590E+000         4.9329342946760022E+000        -1.8976843673325088E+000         1.7000000000000001E-001            0.237084           15.729345           14.489789           12.793429           11.401905            9.766516            7.989530            7.214841            6.926334           11.326363           13.519602           12.637145           14.780617           13.056144           11.254402           13.056811           10.043077           11.259890           13.009935           13.054848           10.018410            9.912935           11.278751           13.030777           10.017118            0.000000
  213         3.1600000000000244E+008         3.6214404508102699E-001         3.6214329223828767E-001         3.5274017715715584E+000         4.9275130337415334E+000        -1.8663730460764831E+000         1.7000000000000001E-001            0.237018           15.599659           14.354657           12.663666           11.289122            9.675576            7.920179            7.142698            6.855366           11.224012           13.389464           12.517077           14.647987           12.924761           11.156940           12.927608            9.952063           11.161140           12.880812           12.925837            9.927552            9.825105           11.180040           12.901493            9.926267            0.000000
  214         3.1600000000000244E+008         3.7385174772591062E-001         3.7385096069281409E-001         3.5326733683252156E+000         4.9221707485122481E+000        -1.8262553546545579E+000         1.7000000000000001E-001            0.236972           15.423603           14.167580           12.483552           11.134718            9.556353            7.834295            7.052432            6.766915           11.086104           13.209969           12.351516           14.465731           12.742133           11.026651           12.748289            9.832224           11.028880           12.701614           12.746836            9.807958            9.710225           11.047834           12.722042            9.806716            0.000000
  215         3.1600000000000244E+008         3.8253089485366920E-001         3.8253008231305158E-001         3.5361352249992297E+000         4.9175884375431220E+000        -1.7978412418519061E+000         1.7000000000000001E-001            0.236939           15.305184           14.040934           12.360909           11.028418            9.473639            7.772972            6.988092            6.703845           10.990650           13.088041           12.238050           14.342672           12.617826           10.936147           12.626140            9.748771           10.937119           12.579546           12.624905            9.724661            9.629985           10.956106           12.599800            9.723473            0.000000
  216         3.1600000000000244E+008         3.9452872322453830E-001         3.9452787472217138E-001         3.5406127034132782E+000         4.9105519043421682E+000        -1.7595027855602707E+000         1.7000000000000001E-001            0.236901           15.150282           13.873988           12.198242           10.886607            9.363301            7.690071            6.901149            6.618704           10.863088           12.926720           12.087092           14.181183           12.452986           10.815029           12.464090            9.637088           10.814389           12.417600           12.463153            9.613181            9.522467           10.833419           12.437616            9.612085            0.000000
