  EEP                isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  183         3.1600000000000244E+008         1.8735724945272181E-001         1.8735690468581218E-001         3.4818470109854864E+000         5.0352431330995877E+000        -2.4468658876098344E+000         1.7000000000000001E-001            0.237465           16.170689           15.238611           13.832528           12.425076           10.660844            8.891909            8.265203            8.037783           12.276233           14.493438           13.642638           15.413272           14.083416           12.185237           14.097872           10.953552           12.194404           14.052635           14.092878           10.928757           10.815508           12.213094           14.074410           10.926781           -1.000000
  184         3.1600000000000244E+008         1.9845720371623382E-001         1.9845683628556007E-001         3.4843323255991678E+000         5.0254100414812859E+000        -2.4026810068730922E+000         1.7000000000000001E-001            0.237470           15.981625           15.055843           13.655606           12.271166           10.530229            8.788420            8.162191            7.936017           12.133777           14.309812           13.478832           15.230473           13.904720           12.048534           13.921329           10.824028           12.056120           13.876183           13.916464           10.799413           10.689720           12.074870           13.897779           10.797359           -1.000000
  185         3.1600000000000244E+008         2.0966514754493296E-001         2.0966475683371405E-001         3.4868538750360965E+000         5.0153838688274890E+000        -2.3578944533848021E+000         1.7000000000000001E-001            0.237475           15.792034           14.871260           13.477613           12.115703           10.398606            8.683640            8.057723            7.833020           11.989883           14.125805           13.313473           15.047026           13.724943           11.910326           13.743687           10.693213           11.916368           13.698629           13.738955           10.668774           10.562613           11.935174           13.720042           10.666664           -1.000000
  186         3.1600000000000244E+008         2.2047855604789965E-001         2.2047814252263612E-001         3.4892635988019789E+000         5.0058506199851980E+000        -2.3152835895232919E+000         1.7000000000000001E-001            0.237480           15.613451           14.697346           13.309413           11.968287           10.274047            8.584078            7.958336            7.734971           11.853421           13.952190           13.156756           14.874060           13.555055           11.779153           13.575799           10.569176           11.783778           13.530825           13.571196           10.544901           10.442039           11.802632           13.552061           10.542758           -1.000000
  187         3.1600000000000244E+008         2.2880648493829164E-001         2.2880605376775906E-001         3.4909416521526366E+000         4.9998536784535910E+000        -2.2864363938963352E+000         1.7000000000000001E-001            0.237482           15.492918           14.579559           13.195309           11.868173           10.189763            8.516769            7.891340            7.668303           11.760821           13.834636           13.050301           14.757042           13.439794           11.690149           13.461893           10.485147           11.693817           13.416974           13.457381           10.460983           10.360375           11.712704           13.438091           10.458825           -1.000000
  188         3.1600000000000244E+008         2.3719939618196581E-001         2.3719894698233182E-001         3.4926336717534299E+000         4.9938219337789658E+000        -2.2573740227308288E+000         1.7000000000000001E-001            0.237487           15.373985           14.462818           13.082461           11.768511           10.105173            8.448539            7.822945            7.600564           11.668248           13.718908           12.944531           14.641048           13.325810           11.600988           13.349133           10.400794           11.603745           13.304264           13.344693           10.376739           10.278292           11.622663           13.325275           10.374566           -1.000000
  189         3.1600000000000244E+008         2.4300669944149964E-001         2.4300623739635660E-001         3.4938517966975784E+000         4.9880596438673175E+000        -2.2359674734515020E+000         1.7000000000000001E-001            0.237488           15.287072           14.377922           13.000710           11.696033           10.043354            8.398159            7.772212            7.550525           11.600739           13.634856           12.867688           14.556545           13.243231           11.535856           13.267424           10.339091           11.537984           13.222591           13.263027           10.315111           10.218172           11.556922           13.243526           10.312934           -1.000000
  190         3.1600000000000244E+008         2.4742932714282612E-001         2.4742885501804560E-001         3.4948103662690406E+000         4.9828964241527505E+000        -2.2191213812638662E+000         1.7000000000000001E-001            0.237490           15.218787           14.311392           12.936800           11.639286            9.994871            8.358518            7.732235            7.511105           11.547820           13.569052           12.807535           14.490258           13.178665           11.484764           13.203538           10.290673           11.486409           13.158736           13.199172           10.266751           10.170972           11.505362           13.179609           10.264571           -1.000000
  191         3.1600000000000244E+008         2.5187026589472072E-001         2.5186978352574768E-001         3.4957686289923360E+000         4.9782132847202911E+000        -2.2027161145952916E+000         1.7000000000000001E-001            0.237491           15.152205           14.246308           12.874201           11.583750            9.947556            8.320004            7.693308            7.472756           11.496078           13.504695           12.748635           14.425472           13.115417           11.434834           13.140965           10.243410           11.436002           13.096193           13.136633           10.219546           10.124919           11.454968           13.117006           10.217366           -1.000000
  192         3.1600000000000244E+008         2.5632444682444988E-001         2.5632395406067887E-001         3.4967235617283388E+000         4.9739462347443073E+000        -2.1867225460068527E+000         1.7000000000000001E-001            0.237493           15.087278           14.182655           12.812906           11.529404            9.901359            8.282519            7.655430            7.435404           11.445479           13.441770           12.690975           14.362159           13.053485           11.386025           13.079700           10.197255           11.386722           13.034957           13.075405           10.173448           10.079961           11.405704           13.055713           10.171267           -1.000000
